filename,width,height,class,xmin,ymin,xmax,ymax
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,178,412,202,440
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,260,412,294,436
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,321,391,358,428
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,357,449,383,466
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,377,392,391,422
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,396,421,415,445
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,258,444,285,461
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,252,460,288,482
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,282,466,329,502
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,193,427,246,456
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,222,402,259,427
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,256,386,291,413
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,181,539,239,573
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,172,117,208,144
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,176,69,215,117
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,151,30,189,65
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,320,134,371,171
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,345,169,404,220
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,148,291,179,313
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,268,525,295,548
levle2_2_jpg.rf.a4f38f32e705e4a57142883ebe6d5f57.jpg,640,640,papules,278,508,316,532
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,551,261,568,293
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,544,284,563,318
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,528,268,543,297
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,557,317,581,348
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,473,374,486,411
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,177,282,192,301
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,187,297,205,330
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,286,166,322,204
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,285,103,301,128
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,298,84,323,112
levle2_28_jpg.rf.48dfd4e7950611aae5d086a0c831383b.jpg,640,640,papules,308,116,326,147
